,Coin,Pair_tuple,Exchange
204,EDG,BTC,Hitbtc
205,EGT,USDT,Okex
206,EDO,BTC,Binance
207,EMC2,BTC,Bittrex
208,EJOY,BTC,Hitbtc
209,XEL,BTC,Bittrex
210,ELA,BTC,Kucoin
211,ELEC,BTC,Kucoin
212,ETN,BTC,Kucoin
213,ELE,BTC,Hitbtc
214,ELIX,BTC,Kucoin
215,EMC,BTC,Hitbtc
216,DNA,BTC,Okex
217,EDR,BTC,Bittrex
218,ENRG,BTC,Bittrex
219,ENGT,BTC,Hitbtc
220,ENG,BTC,Binance
221,ENJ,BTC,Binance
222,EOS,USDT,Okex
223,ERO,BTC,Hitbtc
224,ETBS,BTC,Hitbtc
225,ECH,BTC,Hitbtc
226,ETH,USDT,Binance
227,ETC,USDT,Okex
228,DICE,BTC,Hitbtc
229,FUEL,BTC,Binance
230,LEND,BTC,Binance
231,BQX,BTC,Binance
232,ERC,BTC,Bittrex
233,EVX,BTC,Binance
234,EGC,BTC,Bittrex
235,IQX,USD,Bitfinex
236,XUC,USDT,Okex
237,EXN,BTC,Hitbtc
238,EXCL,BTC,Bittrex
239,EXP,BTC,Bittrex
240,EXY,BTC,Kucoin
241,FACE,BTC,Hitbtc
242,FCT,BTC,Poloniex
243,FAIR,USDT,Okex
244,FCN,BTC,Hitbtc
245,FTC,BTC,Bittrex
246,FTX,BTC,Hitbtc
247,1ST,BTC,Okex
248,FLP,BTC,Hitbtc
249,FLIXX,BTC,Kucoin
250,FLO,BTC,Bittrex
251,FYP,BTC,Hitbtc
252,FLDC,BTC,Bittrex
253,FOTA,BTC,Kucoin
254,FREC,BTC,Hitbtc
255,FDZ,BTC,Hitbtc
256,NTO,BTC,Hitbtc
257,FUN,BTC,Binance
258,FXT,BTC,Hitbtc
259,GAM,BTC,Bittrex
260,GAME,BTC,Bittrex
261,GAS,BTC,Binance
262,GAT,BTC,Kucoin
263,GNX,BTC,Okex
264,GVT,BTC,Binance
265,GEO,BTC,Bittrex
266,GTO,USDT,Okex
267,GLA,BTC,Kucoin
268,GSC,USDT,Okex
269,GNO,BTC,Bittrex
270,GBX,BTC,Hitbtc
271,GO,BTC,Binance
272,GLD,BTC,Bittrex
273,GNT,BTC,Binance
274,GOLOS,BTC,Bittrex
275,GBG,BTC,Bittrex
276,GRMD,BTC,Hitbtc
277,GRC,BTC,Bittrex
278,GRS,BTC,Binance
279,NLG,BTC,Bittrex
280,GXS,BTC,Binance
281,HKN,BTC,Kucoin
282,HAC,BTC,Hitbtc
283,HPC,BTC,Hitbtc
284,HAV,BTC,Kucoin
285,HBZ,BTC,Hitbtc
286,THC,BTC,Bittrex
287,HERO,BTC,Hitbtc
288,PLAY,BTC,Kucoin
289,HMC,BTC,Okex
290,HPB,USDT,Okex
291,HIRE,BTC,Hitbtc
292,HIT,BTC,Okex
293,HVN,BTC,Hitbtc
294,HOT,BTC,Binance
295,ZEN,BTC,Binance
296,HTML,BTC,Hitbtc
297,HMQ,BTC,Bittrex
298,HUC,BTC,Poloniex
299,HYC,USDT,Okex
300,HYDRO,BTC,Bittrex
301,HOT,USDT,Okex
302,HC,BTC,Binance
303,IOC,BTC,Bittrex
304,ICX,USDT,Binance
305,ICN,BTC,Binance
306,ICOS,BTC,Hitbtc
307,RLC,BTC,Binance
308,IGNIS,BTC,Bittrex
309,IHT,BTC,Bittrex
310,REX,BTC,Hitbtc
311,INCNT,BTC,Bittrex
312,IDH,BTC,Hitbtc
313,INDI,BTC,Hitbtc
314,INK,BTC,Hitbtc
315,INS,BTC,Okex
316,INSUR,USDT,Okex
317,INT,USDT,Okex
318,IOP,BTC,Bittrex
319,IFT,BTC,Hitbtc
320,ION,BTC,Bittrex
321,IOST,BTC,Binance
322,ITC,BTC,Okex
323,IOTA,USDT,Binance
